階段,時間,年級,科目,備註
第一階段,1/17 09:00 ~ 1/20 17:00,學士班,通識 國文 英文 體育 二外,✅登記志願
第一階段,1/17 09:00 ~ 1/20 17:00,研究所,二外,✅登記志願
第一階段二次通識,1/22 09:00 ~ 1/22 17:00,學士班,通識,✅登記志願
第二階段(大四 含延畢),1/25 09:00 ~ 12:00,大四,國文 通識 二外,✅登記志願
第二階段(大四 含延畢),1/25 09:00 ~ 12:00,大四,選修,🔺系內同年級餘額加選
第二階段(大四 含延畢),1/25 09:00 ~ 12:00,大四,英文 體育,🔺餘額加選
第二階段(大三),1/25 13:00 ~ 17:00,大三,國文 通識 二外,✅登記志願
第二階段(大三),1/25 13:00 ~ 17:00,大三,選修,🔺系內同年級餘額加選
第二階段(大三),1/25 13:00 ~ 17:00,大三,英文 體育,🔺餘額加選
第二階段(大二),1/26 09:00 ~ 12:00,大二,國文 通識 二外,✅登記志願
第二階段(大二),1/26 09:00 ~ 12:00,大二,選修,🔺系內同年級餘額加選
第二階段(大二),1/26 09:00 ~ 12:00,大二,英文 體育,🔺餘額加選
第二階段(大一),1/26 13:00 ~ 17:00,大一,國文 通識 二外,✅登記志願
第二階段(大一),1/26 13:00 ~ 17:00,大一,選修,🔺系內同年級餘額加選
第二階段(大一),1/26 13:00 ~ 17:00,大一,英文 體育,🔺餘額加選
第二階段(全校),1/27 09:00 ~ 1/28 17:00,研究所,二外,✅登記志願
第二階段(全校),1/27 09:00 ~ 1/28 17:00,研究所,選修,🔺餘額加選
第二階段(全校),1/27 09:00 ~ 1/28 17:00,學士班,選修 體育 英文,🔺餘額加選
第二階段(全校),1/27 09:00 ~ 1/28 17:00,學士班,通識 二外 國文,✅登記志願
第三階段,2/21 09:00 ~ 2/25 17:00,學士班,選修 體育 英文 國文 二外,🔺餘額加選
第三階段,2/21 09:00 ~ 2/25 17:00,學士班,通識,✅登記志願
第三階段,2/21 09:00 ~ 2/25 17:00,研究所,二外,🔺餘額加選
加簽,3/1 09:00 ~ 3/3 17:00,全校,選修 體育 英文 國文 二外 通識,📝系辦/相關單位辦理
退選,3/4 09:00 ~ 5/13 17:00,全校,選修 體育 英文 國文 二外 通識,💻線上辦理
